Statistic,Fish Mean,Shark Mean
Call_any_pfr,21.365027932960896,13.566505102040816
Fold_to_3bet,70.48597765363128,74.96594387755103
Fold_to_4bet+,56.82020484171321,60.41272959183674
4bet_pf,6.277728119180633,7.656198979591837
3bet_pf,7.679106145251398,8.713877551020408
Pfr,18.47007448789572,19.34341836734694
Limp,4.458640595903166,1.1568622448979593
Vpip,28.84945996275605,24.810484693877548
Fold_to_f_xr,36.59996275605214,40.013954081632654
Cbet_t,53.94911388571044,52.32714285714285
Fold_to_r_cbet,48.27717327089397,45.0188368350021
