all-in_adj_bb_100,vpip,pfr,call_any_pfr,3bet_pf,fold_to_3bet,4bet_pf,fold_to_4bet+,limp,total_af,cbet_f,cbet_t,cbet_r,fold_to_f_cbet,fold_to_t_cbet,fold_to_r_cbet,xr_flop,xr_turn,xr_river,fold_to_f_xr,fold_to_t_xr,fold_to_r_xr
8.55,22.52,18.55,10.83,8.32,76.27,8.3,60.28,0.5,2.05,60.13,44.72,49.56,38.52,39.21,42.86,13.23,9.52,5.19,43.72,49.38,52.63
4.87,17.1,14.14,8.4,6.4,80.1,7.67,53.69,0.26,2.7,60.9,64.45,49.62,52.82,38.78,57.69,9.23,8.69,5.97,33.33,35.71,38.46
-1.73,24.0,19.6,12.26,7.69,76.47,5.53,63.8,0.25,1.95,61.15,47.81,41.81,39.88,45.28,38.46,8.43,3.33,2.63,50.74,52.5,75.0
-3.1,21.14,16.1,12.86,6.3,78.16,7.18,50.51,0.44,1.38,49.47,40.38,51.28,49.09,39.79,47.78,6.29,6.41,4.04,35.23,30.3,54.55
0.18,21.74,18.53,9.29,9.19,78.58,7.76,65.69,0.06,2.19,58.83,47.48,54.25,39.66,42.36,39.44,10.88,5.49,2.32,36.84,47.37,61.9
3.0,24.09,21.67,6.93,10.0,81.22,10.1,66.16,0.02,2.2,57.98,55.21,52.82,36.01,43.59,58.62,9.46,5.73,7.92,30.47,45.0,36.84
6.61,24.44,21.37,9.08,10.08,78.88,7.97,61.17,0.05,2.73,66.45,52.23,60.0,46.62,40.21,43.18,12.24,10.95,6.34,37.91,38.64,55.56
3.94,22.27,16.54,14.45,5.41,77.21,5.08,67.32,0.67,1.48,51.34,53.52,43.95,39.26,34.32,42.86,5.28,8.6,2.94,32.5,28.21,60.0
-2.97,18.8,14.17,10.86,6.2,79.11,9.02,64.52,0.9,2.96,76.57,61.17,40.64,42.07,30.26,33.93,12.43,10.19,3.29,56.79,47.73,61.54
2.16,22.63,18.04,12.87,8.51,75.29,7.24,55.34,0.26,1.9,67.71,53.27,44.29,44.8,40.3,60.56,8.05,7.54,6.39,45.31,28.21,50.0
-0.98,21.44,18.35,8.65,8.69,80.75,7.85,67.63,0.08,2.89,59.5,55.46,49.71,49.13,47.06,50.0,9.18,5.54,3.26,48.04,68.29,64.71
3.53,18.68,17.18,4.53,7.97,84.49,8.1,67.59,0.06,3.75,53.83,62.32,64.91,44.74,34.18,23.81,14.26,11.2,1.85,46.25,66.67,40.0
