"Player","Hands","All-In Adj BB","All-In Adj BB/100","My C All-In Adj","VPIP","PFR","Call Any PFR","3Bet PF","Fold to 3Bet","4Bet PF","Fold to 4Bet+","Limp","Total AF","CBet F","CBet T","CBet R","Fold to F CBet","Fold to T CBet","Fold to R CBet","XR Flop","XR Turn","XR River","Fold to F XR","Fold to T XR","Fold to R XR"
"kozirek","61,838","5,286.24","8.55","$1,321.56","22.52","18.55","10.83","8.32","76.27","8.30","60.28","0.50","2.05","60.13","44.72","49.56","38.52","39.21","42.86","13.23","9.52","5.19","43.72","49.38","52.63"
"npAaL","53,022","2,583.04","4.87","$645.76","17.10","14.14","8.40","6.40","80.10","7.67","53.69","0.26","2.70","60.90","64.45","49.62","52.82","38.78","57.69","9.23","8.69","5.97","33.33","35.71","38.46"
"tukeiron","49,593","-859.00","-1.73","-$214.75","24.00","19.60","12.26","7.69","76.47","5.53","63.80","0.25","1.95","61.15","47.81","41.81","39.88","45.28","38.46","8.43","3.33","2.63","50.74","52.50","75.00"
"Hamjhito","49,279","-1,529.24","-3.10","-$382.31","21.14","16.10","12.86","6.30","78.16","7.18","50.51","0.44","1.38","49.47","40.38","51.28","49.09","39.79","47.78","6.29","6.41","4.04","35.23","30.30","54.55"
"JasonMerccie","44,865","82.00","0.18","$20.50","21.74","18.53","9.29","9.19","78.58","7.76","65.69","0.06","2.19","58.83","47.48","54.25","39.66","42.36","39.44","10.88","5.49","2.32","36.84","47.37","61.90"
"mironchikvld","44,710","1,339.96","3.00","$334.99","24.09","21.67","6.93","10.00","81.22","10.10","66.16","0.02","2.20","57.98","55.21","52.82","36.01","43.59","58.62","9.46","5.73","7.92","30.47","45.00","36.84"
"MaxiRCentral","41,104","2,717.72","6.61","$679.43","24.44","21.37","9.08","10.08","78.88","7.97","61.17","0.05","2.73","66.45","52.23","60.00","46.62","40.21","43.18","12.24","10.95","6.34","37.91","38.64","55.56"
"6guru9","37,665","1,484.52","3.94","$371.13","22.27","16.54","14.45","5.41","77.21","5.08","67.32","0.67","1.48","51.34","53.52","43.95","39.26","34.32","42.86","5.28","8.60","2.94","32.50","28.21","60.00"
"Karsa1","37,567","-1,115.80","-2.97","-$278.95","18.80","14.17","10.86","6.20","79.11","9.02","64.52","0.90","2.96","76.57","61.17","40.64","42.07","30.26","33.93","12.43","10.19","3.29","56.79","47.73","61.54"
"kaiaman","36,152","781.24","2.16","$195.31","22.63","18.04","12.87","8.51","75.29","7.24","55.34","0.26","1.90","67.71","53.27","44.29","44.80","40.30","60.56","8.05","7.54","6.39","45.31","28.21","50.00"
"Flix2204","34,630","-339.56","-0.98","-$84.89","21.44","18.35","8.65","8.69","80.75","7.85","67.63","0.08","2.89","59.50","55.46","49.71","49.13","47.06","50.00","9.18","5.54","3.26","48.04","68.29","64.71"
"RuNi333","34,117","1,205.00","3.53","$301.25","18.68","17.18","4.53","7.97","84.49","8.10","67.59","0.06","3.75","53.83","62.32","64.91","44.74","34.18","23.81","14.26","11.20","1.85","46.25","66.67","40.00"
"Seduisant365","33,320","1,891.88","5.68","$472.97","20.10","16.43","9.05","6.09","82.19","8.01","66.50","0.48","2.03","53.91","52.97","45.13","56.75","57.52","50.00","3.60","2.84","3.59","55.88","42.11","60.00"
"Hkimjbs","33,047","-1,633.92","-4.94","-$408.48","24.14","19.85","12.48","10.32","70.26","9.89","50.30","0.33","2.41","69.40","61.49","62.56","38.44","33.46","43.06","17.33","13.49","11.55","26.67","39.29","66.67"
"THEMULL1GAN","32,928","1,706.92","5.18","$426.73","24.79","19.44","12.96","8.85","74.96","7.27","52.16","1.68","1.97","62.07","46.68","47.97","42.59","37.90","57.14","8.88","5.71","1.62","35.29","38.24","66.67"
"saevm","32,259","1,928.00","5.98","$482.00","25.94","19.29","16.43","9.88","72.58","8.09","53.09","1.29","2.41","78.60","63.86","45.64","48.87","38.56","38.89","6.89","10.25","6.27","32.73","36.73","50.00"
"gikserrr","31,863","1,757.24","5.51","$439.31","21.22","17.52","9.79","7.99","80.59","8.45","67.42","0.13","2.65","60.05","49.40","53.19","47.83","42.67","52.63","8.99","5.98","4.89","58.76","51.35","53.33"
"Hicalonic","31,576","-956.60","-3.03","-$239.15","27.66","22.10","16.97","12.48","63.37","7.38","58.69","0.22","2.28","81.09","53.66","46.64","37.27","35.38","50.00","9.20","6.81","2.28","38.29","40.98","72.73"
"LiquidFever","31,494","2,228.88","7.08","$557.22","19.51","16.61","8.22","7.30","81.24","6.44","66.83","0.14","3.07","77.61","47.10","48.39","52.72","29.92","52.17","7.09","3.13","3.17","55.45","44.83","44.44"
"GRizlik14","31,466","-186.88","-0.59","-$46.72","23.02","18.86","10.94","8.56","78.81","6.01","66.67","0.43","2.27","65.07","40.76","40.00","46.87","53.18","58.33","10.31","5.02","3.09","39.25","67.74","20.00"
"jaymacca13","31,465","2,014.48","6.40","$503.62","25.82","20.79","14.88","8.41","69.92","6.52","53.67","0.11","1.51","37.83","32.45","49.06","48.26","45.49","61.40","8.05","6.26","1.49","46.30","33.33","50.00"
"jsergem69","31,030","933.08","3.01","$233.27","23.15","16.66","16.84","8.62","68.06","10.37","36.02","0.77","1.38","51.47","64.96","43.70","43.00","43.06","57.75","5.04","3.74","0.00","11.43","37.04","20.00"
"Tragladit987","30,787","608.36","1.98","$152.09","23.36","15.00","21.85","6.69","67.26","5.16","61.58","0.23","1.90","69.96","52.36","50.00","37.97","50.26","58.62","11.02","9.08","7.80","33.70","35.14","33.33"
"majkec74","30,786","-672.00","-2.18","-$168.00","22.25","16.69","13.65","5.07","86.65","2.83","71.90","0.24","3.42","65.57","31.60","40.00","54.90","47.97","59.26","12.95","5.97","2.73","76.40","70.59","66.67"
"PinnacleUa","29,024","146.20","0.50","$36.55","23.58","19.14","11.34","8.46","78.09","7.22","73.44","0.71","2.43","59.46","55.00","57.42","47.49","47.57","53.06","6.41","2.51","3.10","36.54","50.00","75.00"
"rawmechanic","28,311","2,449.92","8.65","$612.48","21.42","17.94","9.83","8.63","78.67","6.96","62.05","0.27","1.90","60.41","41.00","67.42","47.51","42.67","46.51","8.20","5.96","4.53","32.18","45.16","58.82"
"8IVAN6","27,637","710.68","2.57","$177.67","21.25","18.07","9.49","8.70","78.44","7.04","54.17","0.05","1.42","47.94","42.96","43.10","40.83","33.16","45.10","5.64","4.06","3.64","18.18","21.74","27.27"
"jay_352","27,579","977.88","3.55","$244.47","22.29","18.80","9.36","8.60","79.97","10.25","55.25","0.18","2.08","60.96","46.07","45.79","48.61","39.31","62.96","6.78","9.71","5.66","51.25","48.15","71.43"
"marcob2014TA","27,199","-487.64","-1.79","-$121.91","23.95","18.97","13.34","11.19","74.96","9.73","59.38","0.07","1.98","64.03","62.73","45.57","47.54","37.06","44.83","10.38","2.69","4.82","39.02","41.94","68.75"
"OoohMyyyGod","26,863","543.60","2.02","$135.90","22.54","17.22","13.11","7.73","76.95","10.66","61.65","0.72","2.75","70.57","60.03","40.12","46.45","40.94","60.47","9.71","5.99","4.40","40.00","48.28","66.67"
"drianoher","26,775","-49.52","-0.18","-$12.38","22.95","18.79","10.94","7.51","81.39","6.09","63.32","0.16","3.12","72.58","57.51","61.17","46.58","44.10","39.39","9.40","6.59","4.44","64.96","63.89","60.00"
"Bornin10","26,729","806.28","3.02","$201.57","24.38","20.79","10.95","11.12","72.49","11.39","57.86","0.07","2.26","65.00","47.90","59.75","31.00","37.93","45.61","16.91","12.59","9.64","31.91","40.00","88.24"
"BFG1000k","26,339","136.72","0.52","$34.18","21.54","18.20","9.47","7.39","79.09","7.94","72.45","0.27","1.77","49.33","47.08","45.28","44.30","49.06","55.26","6.16","6.17","3.40","53.85","58.82","40.00"
"AG Gomel79","26,171","-751.88","-2.87","-$187.97","21.40","16.89","11.70","7.43","77.06","8.22","60.00","0.79","2.65","51.85","65.43","48.42","54.59","42.37","45.83","8.14","6.23","1.56","53.57","47.62","57.14"
"arnogrinhofs","26,109","21.08","0.08","$5.27","15.42","12.33","8.82","5.91","80.11","4.43","59.13","0.22","1.15","45.66","42.52","42.31","44.61","56.94","33.33","4.13","4.70","3.08","27.27","0.00","0.00"
"porshe20","25,642","2,347.92","9.16","$586.98","21.13","17.65","9.59","8.51","77.06","7.22","59.00","0.56","2.57","62.68","62.48","58.25","37.40","40.54","45.16","9.01","8.66","7.10","38.24","57.69","41.67"
